YEAR,MAKE,MODEL,TRIM,BODY,TRANSMISSION,VIN,STATE,CONDITION,ODOMETER,COLOR,INTERIOR,SELLER,MMR,SELLINGPRICE,SALEDATE
2012,BMW,X3,xDrive35i,SUV,automatic,5uxwx7c55cl736620,oh,45,44430,blue,brown,financial services remarketing (lease),28700,27900,Tue Jan 27 2015 01:30:00
2012,BMW,X3,xDrive28i,SUV,automatic,5uxwx5c58cl722408,oh,43,32293,gray,black,financial services remarketing (lease),27300,28500,Tue Jan 27 2015 01:30:00
2012,BMW,6 Series,650i,Convertible,automatic,wbalz3c56cdl72576,nv,41,38896,gray,red,financial services remarketing (lease),42200,43300,Thu Feb 19 2015 14:00:00
2012,,,,,automatic,wbakc8c54cc434587,oh,41,47760,gray,black,financial services remarketing (lease),38100,39250,Tue Jan 27 2015 01:30:00
2012,BMW,5 Series,535i xDrive,Sedan,automatic,wbafu7c56cdu56738,nv,38,24157,black,black,financial services remarketing - pickup,35300,37500,Thu Jan 22 2015 06:30:00
2012,BMW,X3,xDrive28i,SUV,automatic,5uxwx5c50cl726811,nv,42,53520,black,gray,financial services remarketing - pickup,24500,25000,Thu Jan 22 2015 06:30:00
2012,,,,,,wbakc8c50cc435204,pa,33,30825,blue,gray,financial services remarketing (lease),41800,39000,Fri Feb 06 2015 01:00:00
2012,,,,,automatic,wbakc6c54cc396802,oh,41,36824,black,black,financial services remarketing (lease),37300,38500,Tue Jan 27 2015 01:30:00
2012,BMW,X5,xDrive35i Premium,SUV,automatic,5uxzv4c54cl767374,oh,37,47990,gray,brown,financial services remarketing (lease),32800,30000,Tue Feb 24 2015 01:30:00
2012,Cadillac,Escalade,Luxury,SUV,automatic,1gys4bef1cr179942,ca,3,38190,black,beige,the hertz corporation,40300,39300,Tue Jan 20 2015 04:30:00
2012,BMW,X6,xDrive50i,SUV,automatic,5uxfg8c54cl590684,wa,49,43231,black,black,financial services remarketing (lease),39200,42000,Wed Jan 21 2015 04:30:00
2012,BMW,X5,xDrive35i Premium,SUV,automatic,5uxzv4c5xcl763460,oh,41,42791,white,black,financial services remarketing (lease),36100,35700,Tue Jan 27 2015 01:30:00
2012,BMW,X5,xDrive35d,SUV,automatic,5uxzw0c56cl666021,oh,43,50123,blue,brown,financial services remarketing (lease),34300,31000,Tue Jan 27 2015 01:30:00
2012,BMW,X6,xDrive50i,SUV,automatic,5uxfg8c53cl590112,oh,41,48612,gray,black,financial services remarketing (lease),38000,40000,Tue Jan 27 2015 01:30:00
2014,Chevrolet,Cruze,2LT,Sedan,automatic,1g1pe5sb6e7259241,mi,4,23903,white,tan,gm remarketing,13200,12500,Thu Feb 19 2015 01:30:00
2014,Chevrolet,Equinox,LS,SUV,automatic,2gnalaek3e6218113,nj,49,36863,blue,gray,wheels exchange llc,15100,14800,Wed Jan 21 2015 01:30:00
2012,Chevrolet,Express Cargo,1500,Van,automatic,1gcsgafx1c1169392,il,36,144858,white,gray,lease plan usa,8700,8500,Tue Jan 20 2015 02:00:00
2012,Chevrolet,Cruze,LS,Sedan,manual,1g1pd5sh9c7202942,ga,34,52247,blue,gray,santander consumer,8050,6500,Tue Feb 10 2015 01:30:00
2012,Chevrolet,Equinox,LT,SUV,automatic,2gnflee57c6279064,nj,44,35127,silver,black,fiserv/usb dealer services northstar exchange,18100,17400,Wed Jan 21 2015 01:30:00
2012,Chevrolet,Impala,LTZ,Sedan,automatic,2g1wc5e32c1183386,ca,3,64934,black,black,the hertz corporation,10350,10300,Tue Jan 20 2015 04:30:00
2012,Chevrolet,Camaro,SS,Coupe,manual,2g1ft1ew6c9120103,oh,41,24320,yellow,black,financial services remarketing (repos),23200,24500,Tue Jan 27 2015 01:30:00
2012,Chevrolet,Malibu,LT,Sedan,automatic,1g1zc5e00cf353496,ca,4,64593,white,gray,the hertz corporation,9400,9600,Tue Jan 20 2015 04:30:00
2012,Chrysler,200,LX,Sedan,automatic,1c3ccbab5cn318577,nc,31,64506,white,black,dt credit corporation,8675,7500,Tue Feb 17 2015 01:30:00
2012,Chevrolet,Tahoe,LTZ,SUV,automatic,1gnskce07cr274817,nj,35,52717,black,tan,wheels exchange llc,35200,33400,Wed Jan 21 2015 01:30:00
2012,Chevrolet,Malibu,LS Fleet,Sedan,automatic,1g1za5eu7cf186885,nc,38,115622,silver,gray,ge fleet services for itself/servicer,6950,7400,Mon Jan 26 2015 01:30:00
